show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
sv001,Movie,The Harbor Line,Elena Vasquez,"Marco Reyes, Dana Okafor",Mexico,"January 15, 2024",2023,PG-13,108 min,"Dramas, International Movies",A ferry operator in Veracruz uncovers a decades-old family secret when a stranger boards with her grandmother's photograph.
sv002,TV Show,Midnight Dispatch,,"Kira Tanaka, Rob Ellison",United States,"February 2, 2024",2022,TV-MA,3 Seasons,"Crime TV Shows, Thrillers",An overnight 911 dispatcher starts receiving calls that predict crimes exactly one hour before they happen.
sv003,Movie,Sourdough Summer,Priya Nair,"Lena Fox, Tom Abadi",United Kingdom,"March 8, 2024",2024,PG,95 min,"Comedies, Romantic Movies",A laid-off banker bets her severance on a village bakery and clashes with the town's stubborn flour miller.
sv004,Movie,Glacier's Edge,Sven Larsen,,"Norway","March 21, 2024",2021,TV-PG,74 min,Documentaries,Scientists race a melting Arctic season to record the sounds of a glacier before it disappears.
sv005,TV Show,Casa Bravo,,"Sofia Delgado, Luis Marin",Spain,"April 4, 2024",2020,TV-14,4 Seasons,"International TV Shows, TV Dramas",Three siblings inherit a crumbling Madrid hotel and must run it together for one year to keep it.
sv006,Movie,Static,Jordan Pike,"Amara Cole, Ben Osei",United States,"April 18, 2024",2023,R,102 min,"Horror Movies, Thrillers",A late-night radio host realizes her call-in listeners are describing her own house.
sv007,Movie,The Kite Census,Amir Rahimi,"Farah Aziz, Omid Shah",Iran,"May 1, 2024",2019,PG,88 min,"International Movies, Dramas",A retired teacher walks his city counting kites to find the students the war scattered.
sv008,TV Show,Prep Kitchen,,"Chef Mora Blake",United States,"May 15, 2024",2023,TV-G,2 Seasons,Reality TV,Eight line cooks compete for a head-chef position in a real restaurant that stays open during filming.
sv009,Movie,Orbit of Small Things,Yuki Hamada,"Ren Sato, Aiko Mori",Japan,"June 3, 2024",2022,PG,91 min,"Sci-Fi & Fantasy, International Movies",A space-station janitor secretly grows a garden in zero gravity and becomes an unlikely national hero.
sv010,Movie,Counterweight,Dana Whitfield,"Grace Lin, Aaron Boyd",Canada,"June 20, 2024",2023,PG-13,116 min,"Action & Adventure, Thrillers",A crane operator witnesses a heist from forty stories up and becomes the only witness who can't leave her cab.
sv011,TV Show,The Lantern Route,,"Mei Chen, David Kwan",Taiwan,"July 7, 2024",2021,TV-PG,2 Seasons,"International TV Shows, TV Mysteries",A night-market food vendor solves neighborhood mysteries using gossip traded for dumplings.
sv012,Movie,Second Shift,Rosa Camaro,"Nina Velez, Hank Porter",United States,"July 25, 2024",2020,PG-13,99 min,Dramas,A hospital payroll clerk discovers a ghost employee scheme and has one pay cycle to prove it.
sv013,Movie,Bright Colony,Kwame Mensah,"Efua Danso, Kojo Antwi",Ghana,"August 10, 2024",2023,TV-14,104 min,"International Movies, Sci-Fi & Fantasy",Accra's first solar city goes dark for one hour each night and only a teenage electrician knows why.
sv014,TV Show,Paper Trails,,"Iris Novak, Sam Reed",United States,"August 28, 2024",2019,TV-14,5 Seasons,"TV Dramas, Crime TV Shows",A forensic accountant untangles financial crimes one spreadsheet at a time for a scrappy federal task force.
sv015,Movie,The Last Projectionist,Marta Kowalski,"Jan Nowak",Poland,"September 12, 2024",2018,PG,82 min,"Documentaries, International Movies",The final operator of Warsaw's oldest cinema fights to screen one last reel before demolition day.
sv016,Movie,Monsoon Chess Club,Arjun Patel,"Divya Rao, Sanjay Kumar",India,"September 30, 2024",2022,PG,110 min,"International Movies, Dramas, Children & Family Movies",Rooftop chess games during monsoon season turn a Mumbai apartment block into an unlikely championship team.
sv017,TV Show,Frost Signal,,"Astrid Berg, Nils Holm",Sweden,"October 14, 2024",2023,TV-MA,1 Season,"International TV Shows, TV Thrillers",A weather-station intern above the Arctic Circle intercepts a broadcast that was supposed to end in 1989.
sv018,Movie,Pocket Universe,Casey Drummond,"Theo James, Lily Park",United States,"October 31, 2024",2024,PG,89 min,"Children & Family Movies, Sci-Fi & Fantasy",A nine-year-old finds a universe in her coat pocket and has until laundry day to put it back.
sv019,Movie,Tango at Dawn,Lucia Ferreyra,"Mateo Silva, Carmen Ruiz",Argentina,"November 12, 2024",2021,PG-13,97 min,"International Movies, Romantic Movies",Two rival dance instructors are forced to share a studio and a 5 a.m. practice slot.
sv020,TV Show,The Understudy,,"Fiona Gallagher, Marcus Webb",United Kingdom,"November 29, 2024",2022,TV-14,3 Seasons,"TV Comedies, TV Dramas",A West End understudy finally gets her shot when the lead vanishes — then has to find out why.
sv021,Movie,Salt Road,Tariq El-Amin,"Yousef Hariri, Amina Diallo",Morocco,"December 10, 2024",2020,PG,93 min,"International Movies, Action & Adventure",A desert trucker takes one last salt run across the Sahara with a stowaway who changes everything.
sv022,Movie,The Quiet Floor,Hannah Strom,"Naomi Wells, Peter Chang",United States,"December 24, 2024",2023,R,105 min,"Thrillers, Horror Movies",A night librarian discovers the building's silent seventh floor isn't on any blueprint.
sv023,TV Show,Family Ledger,,"Rosa Marquez, Tony Delgado",Mexico,"January 8, 2025",2023,TV-14,2 Seasons,"International TV Shows, TV Dramas",Three generations run a family accounting firm where every client secret eventually comes home.
sv024,Movie,Windfall Season,Colm O'Brien,"Saoirse Kelly, Declan Moore",Ireland,"January 22, 2025",2019,PG-13,101 min,"Comedies, Dramas",A tiny coastal town wins a group lottery ticket and nearly tears itself apart before the check clears.
sv025,Movie,Deep Current,Isabella Romano,"Marco Bianchi, Elena Costa",Italy,"February 5, 2025",2024,PG-13,112 min,"International Movies, Thrillers",A marine biologist mapping a Mediterranean trench finds a wreck that officially never sailed.
sv026,TV Show,Startup Garage,,"Dev Sharma, Zoe Kim",United States,"February 19, 2025",2021,TV-PG,3 Seasons,"Reality TV, Docuseries",Founders build companies from an actual garage with one shared credit card and ninety days.
sv027,Movie,The Cartographer's Daughter,Fatima Benali,"Leila Mansour, Karim Aziz",France,"March 5, 2025",2022,PG,107 min,"International Movies, Dramas",Inheriting her father's map shop reveals a lifetime of hand-drawn maps to places that don't exist — yet.
sv028,Movie,Overtime,Reggie Fontaine,"Jamal Carter, Mike Russo",United States,"March 19, 2025",2023,PG-13,98 min,"Sports Movies, Dramas",A payroll error makes a benchwarmer the highest-paid player in the league for exactly one game.
sv029,TV Show,Harbor Lights,,"Ingrid Solberg, Erik Dahl",Norway,"April 2, 2025",2020,TV-14,4 Seasons,"International TV Shows, TV Dramas, TV Mysteries",A lighthouse keeper's log connects a century of disappearances in a fjord town that keeps no records.
sv030,Movie,The Spice Ledger,Anjali Menon,"Kavya Nair, Ravi Pillai",India,"April 16, 2025",2021,PG,94 min,"International Movies, Comedies",A Kochi spice merchant's handwritten ledger turns out to be the neighborhood's most accurate history book.
sv031,Movie,Null Island,Wesley Grant,"Ada Obi, Finn Murphy",United States,"April 30, 2025",2024,PG-13,103 min,"Sci-Fi & Fantasy, Comedies",Two mapping-software engineers discover the ocean point where all bad GPS data goes — and it's inhabited.
sv032,TV Show,The Green Room,,"Bella Tran, Oscar Diaz",Australia,"May 14, 2025",2022,TV-MA,2 Seasons,"TV Comedies",A struggling comedy club's green room is the only place its comics ever tell the truth.
sv033,Movie,First Frost,Nikolai Petrov,"Vera Ivanova",Russia,"May 28, 2025",2018,PG,86 min,"International Movies, Dramas",A village schoolteacher delays winter's first lesson to help her students harvest a dying orchard.
sv034,Movie,Checkout Time,Gloria Osei,"Patience Addo, Kwesi Boateng",Ghana,"June 11, 2025",2023,TV-14,96 min,"International Movies, Thrillers",A hotel night auditor notices the same guest checking in across thirty years of paper records.
sv035,TV Show,Signal & Noise,,"Ana Lucia Torres, Jorge Vidal",Colombia,"June 25, 2025",2023,TV-14,1 Season,"International TV Shows, Crime TV Shows",A community radio station in Bogota becomes the only outlet a whistleblower trusts.
sv036,Movie,The Apiary,June Nakamura,"Hana Yoshida, Kenji Ito",Japan,"July 9, 2025",2020,PG,90 min,"International Movies, Dramas",An urban beekeeper on a Tokyo rooftop fights a development company one hive at a time.
sv037,Movie,Borrowed Time,Malik Johnson,"Denise Whitaker, Cal Brooks",United States,"July 23, 2025",2024,R,109 min,"Thrillers, Dramas",A pawnshop owner realizes the watches on his shelf each stopped at the moment their owners vanished.
sv038,TV Show,Alpine Unit,,"Claudia Weber, Stefan Graf",Germany,"August 6, 2025",2021,TV-14,3 Seasons,"International TV Shows, TV Action & Adventure",A mountain-rescue team in Bavaria handles the cases that end above the treeline.
sv039,Movie,The Long Receipt,Carmen Vega,"Rita Flores, Danny Cho",United States,"August 20, 2025",2022,PG-13,100 min,"Comedies, Dramas",An accounts-payable clerk audits one suspicious receipt and unravels her company's entire founding myth.
sv040,Movie,Skyline Harvest,Chen Wei,"Li Na, Zhang Yong",China,"September 3, 2025",2023,PG,98 min,"International Movies, Documentaries",Rooftop farmers across Shanghai race to feed a district when a supply-chain failure empties the markets.
